,hometown,high school,position,status
84,"['Hometown', 'DeSoto, Texas']","['School', 'DeSoto High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State                 ']"
85,"['Hometown', 'Aurora, Ill.']","['School', 'Aurora East High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut                   ']"
86,"['Hometown', 'La Marque, Texas']","['School', 'La Marque High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
87,"['Hometown', 'Hyattsville, Md.']","['School', 'DeMatha Catholic High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
88,"['Hometown', 'Jenkintown, Pa.']","['School', 'Abington Friends School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
89,"['Hometown', 'Toronto, Ontario, Canada']","['School', 'Huntington Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'New Mexico State              ']"
90,"['Hometown', 'Columbus, Ohio']","['School', 'Northland High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan                      ']"
91,"['Hometown', 'Worcester, Mass.']","['School', 'Brewster Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
92,"['Hometown', 'Charlotte, N.C.']","['School', 'Charlotte Christian School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'South Carolina                ']"
93,"['Hometown', 'Cedar Rapids, Iowa']","['School', 'Jefferson Senior High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wisconsin                     ']"
94,"['Hometown', 'Killeen, Texas']","['School', 'Killeen High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Houston                       ']"
95,"['Hometown', 'Bronx, N.Y.']","['School', 'Wadleigh High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
96,"['Hometown', 'Conyers, Ga.']","['School', 'Rockdale County High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville                    ']"
97,"['Hometown', 'Okolona, Miss.']","['School', 'Okolona High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Mississippi State             ']"
98,"['Hometown', 'Danville, Va.']","['School', 'Hargrave Military Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia Tech                 ']"
