Year,Rank,Hometown,High School,HS Type,Position,Status,College
2019,84,"Ypsilanti, Mich.",Sunrise Christian Academy,private,Power Forward,Signed ,Missouri
2019,85,"Brooklyn, N.Y.",The MacDuffie School,private,Shooting Guard,Signed ,UConn
2019,86,"Montgomery, Ala.",Carver High School,public,Small Forward,Signed ,Georgia
2019,87,"Denton, Texas",John H. Guyer High School,public,Small Forward,Committed ,Kansas
2019,88,"Woodstock, Conn.",Woodstock Academy,private,Center,Signed ,Massachusetts
2019,89,"William Grove, Pa.",Abington Friends School,private,Power Forward,Signed ,Villanova
2019,90,"Louisville, Ky.",Trinity High School,public,Shooting Guard,Signed ,Louisville
2019,91,"Walkertown, N.C.",Walkertown High School,public,Point Guard,Committed ,Virginia Tech
2019,92,"Edison, N.J.",Trenton Catholic Academy,private,Shooting Guard,Signed ,Butler
2019,93,"Bradenton, Fla.",IMG Academy,private,Shooting Guard,Committed ,Memphis
2019,94,"Fayetteville, N.C.",Northwood Temple Academy,private,Shooting Guard,Signed ,Louisville
2019,95,"Phoenix, Ariz.",EDUPRIZE Schools,public,Power Forward,Signed ,Ole Miss
2019,96,"Chicago, Ill.",Uplift Community High School,public,Point Guard,Signed ,DePaul
2019,97,"Marysville, Wash.",Marysville-Pilchuck High School,public,Shooting Guard,Signed ,Washington
2019,98,"Hesperia, Calif.",Hesperia High School,public,Point Guard,Signed ,Alabama
2019,99,"Camarillo, Calif.",Adolfo Camarillo High School,public,Small Forward,Signed ,UCLA
2019,100,"Fort Bend, Texas",Elkins High School,public,Small Forward,Signed ,Texas
2018,1,"Spartanburg, S.C.",Spartanburg Day School,private,Power Forward,Signed ,Duke
2018,2,"Henderson, Nev.",Findlay College Prep,private,Center,Signed ,Oregon
2018,3,"Orange Park, Fla.",Orlando Christian Prep,private,Small Forward,Signed ,North Carolina
2018,4,"The Woodlands, Texas",The Woodlands College Park High School,public,Shooting Guard,Signed ,Kansas
2018,5,"Baltimore, Md.",Mount St. Joseph High School,private,Power Forward,Signed ,Maryland
2018,6,"Asbury Park, N.J.",Roselle Catholic High School,private,Power Forward,Signed ,LSU
2018,7,"Marietta, Ga.",Wheeler High School,public,Power Forward,Signed ,Kentucky
2018,8,"Brentwood, Tenn.",Brentwood Academy,private,Point Guard,Signed ,Vanderbilt
2018,9,"San Antonio, Texas",ASPIRE Academy,public,Center,Signed ,Western Kentucky
2018,10,"Covington, Ga.",Newton High School,public,Point Guard,Signed ,Kentucky
2018,11,"Carnon, France, Europe",Wesleyan Christian Academy,private,Small Forward,Signed ,Wake Forest
2018,12,"Charlotte, N.C.",Providence Day School,private,Point Guard,Signed ,Kansas
2018,13,"Hackensack, N.J.",Hudson Catholic High School,private,Point Guard,Signed ,Villanova
2018,14,"Aurora, Ontario, Canada",Montverde Academy,private,Point Guard,Signed ,Florida
2018,15,"Greenfield, Wis.",Whitnall High School,public,Shooting Guard,Signed ,Kentucky
2018,16,"Santa Monica, Calif.",Crossroads School,private,Power Forward,Signed ,UCLA
2018,17,"Providence, R.I.",St. Andrews School,private,Power Forward,Signed ,Villanova
2018,18,"Chicago, Ill.",Morgan Park High School,public,Point Guard,Signed ,Illinois
2018,19,"Montclair, N.J.",Immaculate Conception High School,private,Shooting Guard,Signed ,Syracuse
2018,20,"Seattle, Wash.",Rainier Beach High School,public,Small Forward,Signed ,USC
2018,21,"Greensboro, N.C.",Wesleyan Christian Academy,private,Small Forward,Signed ,Maryland
2018,22,"San Diego, Calif.",Foothills Christian High School,private,Power Forward,Signed ,Arizona State
2018,23,"Hazel Green, Ala.",Hazel Green High School,public,Point Guard,Committed ,Alabama
2018,24,"Cibolo, Texas",Byron P. Steele II High School,public,Small Forward,Signed ,Texas
2018,25,"Providence, R.I.",Cushing Academy,private,Point Guard,Signed ,Providence
2018,26,"Concord, N.C.",Cox Mill High School,public,Small Forward,Signed ,North Carolina
2018,27,"Williston, Fla.",IMG Academy,private,Power Forward,Signed ,LSU
2018,28,"Roxbury, Mass.",Brimmer & May,private,Shooting Guard,Signed ,Providence
2018,29,"Belgrade, Serbia, Europe",Montverde Academy,private,Center,Signed ,Gonzaga
2018,30,"Concord, N.C.",Cannon School,private,Small Forward,Signed ,Boston College
2018,31,"East Lansing, Mich.",East Lansing High School,public,Small Forward,Signed ,Michigan
2018,32,"Grand Rapids, Mich.",Catholic Central High School,private,Power Forward,Signed ,Michigan State
2018,33,"Jersey City, N.J.",Hudson Catholic High School,private,Shooting Guard,Signed ,Ohio State
2018,34,"Chicago, Ill.",Simeon Career Academy,public,Small Forward,Signed ,Iowa State
